Row number,Year,Stlkey,Vessel code,Station,Setno,IPHC Reg Area,IPHC Stat Area,IPHC Charter Region,Purpose Code,Date,Eff,Ineffcde,BeginLat,BeginLon,BeginDepth (fm),EndLat,EndLon,EndDepth (fm),MidLat fished,MidLon fished,AvgDepth (fm),Lat - Grid target,Lon - Grid target,O32 Pacific halibut count,U32 Pacific halibut count,O32 Pacific halibut weight,U32 Pacific halibut weight,No. skates set,No. skates hauled,Avg no. hook/skate,Effective skates hauled,Soak time (min.),Profiler Lat,Profiler Lon,Profiler Bottom Depth (m),Temp C,Max Pressure (db),pH,Salinity PSU,Sigma-t,Oxygen_ml,Oxygen_umol,Oxygen_sat
215,2021,20211117,VNI,2050,127,2B,90,Goose Is.,Standard Grid,22-Aug-21,Y,,51.01700,-129.52920,142,50.97950,-129.52900,126,50.9983,-129.5290,131,51.000,-129.533,11,1,388,9,8,8,100,8.03,558,,,,,,,,,,,
216,2021,20211118,VNI,2258,128,2B,90,Goose Is.,Standard Grid,22-Aug-21,Y,,50.83780,-129.55770,331,50.83720,-129.49930,182,50.8375,-129.5285,227,50.834,-129.533,2,1,30,9,8,3,98,2.46,666,,,,,,,,,,,
217,2021,20211119,VNI,2067,129,2B,91,Goose Is.,Standard Grid,23-Aug-21,Y,,51.49970,-128.68680,69,51.50050,-128.75720,24,51.5000,-128.7220,44,51.500,-128.717,28,60,477,446,8,8,99,7.95,436,,,,,,,,,,,
218,2021,20211120,VNI,2068,130,2B,102,Goose Is.,Standard Grid,23-Aug-21,Y,,51.50030,-128.94430,23,51.49850,-129.00850,24,51.4995,-128.9765,23,51.500,-128.983,40,22,"1,249",175,8,8,99,7.95,557,,,,,,,,,,,
219,2021,20211121,VNI,2054,131,2B,91,Goose Is.,Standard Grid,24-Aug-21,Y,,51.14650,-128.99900,70,51.18580,-128.99820,75,51.1662,-128.9985,73,51.167,-129.000,43,58,694,460,8,8,99,7.95,440,51.18830,-128.99831,135,6.5035,124,7.925,33.678,,2.5969,,
220,2021,20211122,VNI,2055,132,2B,91,Goose Is.,Standard Grid,24-Aug-21,Y,,51.16670,-129.23400,130,51.16800,-129.29970,154,51.1673,-129.2668,145,51.167,-129.267,15,2,387,14,8,8,99,7.95,574,51.16700,-129.23030,232,6.3752,219,7.841,33.932,,1.7828,,
221,2021,20211123,VNI,2062,133,2B,91,Goose Is.,Standard Grid,24-Aug-21,Y,,51.33250,-129.27980,124,51.33330,-129.22350,129,51.3328,-129.2517,128,51.333,-129.250,23,17,393,148,8,8,99,7.95,703,51.33000,-129.28320,234,6.0853,222,7.845,33.935,,1.8756,,
222,2021,20211124,VNI,2069,134,2B,102,Goose Is.,Standard Grid,25-Aug-21,Y,,51.47770,-129.24180,30,51.51580,-129.24850,27,51.4967,-129.2452,27,51.500,-129.250,37,40,813,329,8,8,99,7.95,491,51.52130,-129.25169,48,10.5042,35,8.248,31.978,,4.9495,,
223,2021,20211125,VNI,2075,135,2B,102,Goose Is.,Standard Grid,25-Aug-21,Y,,51.64650,-129.25080,32,51.68350,-129.24770,30,51.6650,-129.2492,31,51.667,-129.250,26,67,470,518,8,8,99,7.95,629,51.68050,-129.24471,57,11.9429,47,8.334,31.757,,5.5246,,
224,2021,20211126,VNI,2076,136,2B,102,Goose Is.,Standard Grid,25-Aug-21,Y,,51.64720,-129.51270,50,51.68530,-129.51870,54,51.6662,-129.5157,52,51.667,-129.517,1,36,13,288,8,8,99,7.95,727,51.68350,-129.51230,99,6.7996,88,8.007,33.282,,3.2708,,
225,2021,20211127,VNI,2080,137,2B,102,Goose Is.,Standard Grid,26-Aug-21,Y,,51.85450,-128.96900,47,51.81320,-128.96650,43,51.8338,-128.9677,44,51.833,-128.967,37,175,628,"1,355",8,8,99,7.95,448,51.85620,-128.96750,88,7.0835,75,8.063,33.034,,3.6723,,
226,2021,20211128,VNI,2074,138,2B,102,Goose Is.,Standard Grid,26-Aug-21,Y,,51.68870,-128.98220,37,51.64750,-128.98580,27,51.6682,-128.9840,29,51.667,-128.983,38,57,609,438,8,8,100,8.03,574,51.69200,-128.97900,73,8.9160,61,8.164,32.399,,4.4241,,
227,2021,20211129,VNI,2064,139,2B,102,Goose Is.,Standard Grid,27-Aug-21,Y,,51.35700,-129.78230,128,51.31350,-129.78120,141,51.3353,-129.7818,132,51.333,-129.783,14,12,252,91,8,8,100,8.03,426,,,,,,,,,,,
228,2021,20211130,VNI,2265,140,2B,100,Goose Is.,Standard Grid,27-Aug-21,Y,,51.35020,-130.04280,167,51.31020,-130.04250,175,51.3302,-130.0427,167,51.334,-130.050,9,2,230,14,8,8,99,7.95,607,51.31250,-130.03619,305,5.9175,290,7.853,33.974,,1.6727,,
229,2021,20211131,VNI,2262,141,2B,100,Goose Is.,Standard Grid,27-Aug-21,Y,,51.21020,-130.05000,316,51.20900,-129.98830,243,51.2095,-130.0192,279,51.167,-130.049,2,0,61,0,8,8,99,7.95,751,,,,,,,,,,,
230,2021,20211132,VNI,2261,142,2B,100,Goose Is.,Standard Grid,28-Aug-21,Y,,51.04100,-129.79050,336,51.04330,-129.72980,250,51.0422,-129.7602,274,51.000,-129.798,2,0,66,0,8,8,99,7.95,450,,,,,,,,,,,
231,2021,20211133,VNI,2263,143,2B,100,Goose Is.,Standard Grid,28-Aug-21,Y,,51.16650,-129.79000,328,51.16730,-129.72980,194,51.1668,-129.7600,245,51.167,-129.783,6,0,188,0,8,8,99,7.95,621,,,,,,,,,,,
232,2021,20211134,VNI,2056,144,2B,100,Goose Is.,Standard Grid,28-Aug-21,Y,,51.16850,-129.56870,157,51.16780,-129.50420,155,51.1682,-129.5365,156,51.167,-129.533,3,1,77,7,8,8,99,7.95,734,,,,,,,,,,,
