FID,station,lat,lon,regarea,stn_type,stn_type_n,rca,mpa,mpa_name
187,2218,49.00016667,233.1166667,2B,expansion,2,0,0, 
188,2219,49.16433333,236.6638333,2B,expansion,2,0,0, 
189,2220,49.16466667,236.4091667,2B,expansion,2,0,0, 
190,2221,49.1665,233.8666667,2B,expansion,2,0,0, 
191,2222,49.331,236.6673333,2B,expansion,2,0,0, 
192,2223,49.33116667,236.4116667,2B,expansion,2,0,0, 
193,2224,49.3315,236.1561667,2B,expansion,2,0,0, 
194,2225,49.33183333,235.9005,2B,expansion,2,0,0, 
195,2226,49.4975,236.6698333,2B,expansion,2,0,0, 
196,2227,49.49833333,235.9005,2B,expansion,2,0,0, 
197,2228,49.4985,235.404,2B,expansion,2,0,0, 
198,2229,49.66466667,236.157,2B,expansion,2,0,0, 
199,2230,49.665,235.404,2B,expansion,2,0,0, 
200,2231,49.66533333,235.1475,2B,expansion,2,0,0, 
201,2232,49.66616667,233.8731667,2B,expansion,2,0,0, 
202,2233,49.66683333,232.3333333,2B,expansion,2,0,0, 
203,2234,49.831,235.9195,2B,expansion,2,0,0, 
204,2235,49.83133333,235.149,2B,expansion,2,0,0, 
205,2236,49.8315,235.404,2B,expansion,2,0,0, 
206,2237,49.83316667,232.85,2B,expansion,2,0,0, 
207,2238,49.99783333,235.149,2B,expansion,2,0,0, 
208,2239,49.99816667,234.9068333,2B,expansion,2,0,0, 
209,2242,50.1665,232.0776667,2B,expansion,2,0,0, 
210,2243,50.33116667,234.9078333,2B,expansion,2,0,0, 
211,2244,50.49766667,234.924,2B,expansion,2,0,0, 
212,2245,50.49833333,233.6418333,2B,expansion,2,0,0, 
213,2246,50.49866667,233.38,2B,expansion,2,0,0, 
214,2247,50.49933333,232.3403333,2B,expansion,2,0,0, 
215,2249,50.66466667,233.9046667,2B,expansion,2,0,0, 
216,2250,50.665,233.3788333,2B,expansion,2,0,0, 
217,2251,50.66533333,233.1161667,2B,expansion,2,0,0, 
218,2252,50.666,232.8411667,2B,expansion,2,0,0, 
219,2254,50.8325,232.842,2B,expansion,2,0,0, 
220,2255,50.83283333,232.5783333,2B,expansion,2,0,0, 
221,2258,50.8335,230.4666667,2B,expansion,2,0,1,Scott Islands NWA
222,2259,50.99716667,234.433,2B,expansion,2,0,0, 
223,2260,50.99966667,232.3146667,2B,expansion,2,0,0, 
224,2261,50.99966667,230.202,2B,expansion,2,0,1,Scott Islands NWA
225,2262,51.1665,229.951,2B,expansion,2,0,0, 
226,2263,51.16683333,230.2166667,2B,expansion,2,0,0, 
227,2264,51.333,232.3498333,2B,expansion,2,0,0, 
228,2265,51.3335,229.95,2B,expansion,2,0,0, 
229,2266,51.66583333,232.6193333,2B,expansion,2,0,0, 
230,2267,51.66616667,232.0851667,2B,expansion,2,0,0, 
231,2268,51.6665,231.8166667,2B,expansion,2,0,0, 
232,2269,51.6665,231.2833333,2B,expansion,2,0,0, 
233,2270,51.83283333,232.0851667,2B,expansion,2,0,0, 
234,2271,51.99966667,228.8628333,2B,expansion,2,0,1,Gwaii Haanas NMCA
235,2272,52.16483333,233.1595,2B,expansion,2,0,0, 
236,2273,52.16633333,228.8618333,2B,expansion,2,0,1,Gwaii Haanas NMCA
237,2274,52.16683333,228.5833333,2B,expansion,2,0,1,Gwaii Haanas NMCA
238,2275,52.3315,232.8968333,2B,expansion,2,0,0, 
239,2276,52.33316667,231.05,2B,expansion,2,0,0, 
240,2277,52.3335,228.8666667,2B,expansion,2,0,1,Gwaii Haanas NMCA
241,2278,52.49983333,230.7833333,2B,expansion,2,0,0, 
242,2279,52.66616667,231.057,2B,expansion,2,0,0, 
243,2280,52.66616667,230.7413333,2B,expansion,2,0,0, 
244,2283,52.8325,230.7846667,2B,expansion,2,0,0, 
245,2284,52.83283333,230.509,2B,expansion,2,0,0, 
246,2285,52.83283333,228.591,2B,expansion,2,0,0, 
247,2286,52.83316667,230.2333333,2B,expansion,2,0,0, 
248,2287,52.83316667,228.8666667,2B,expansion,2,0,0, 
249,2288,52.9995,228.591,2B,expansion,2,0,0, 
250,2289,52.9995,228.8565,2B,expansion,2,0,0, 
251,2290,52.9995,227.74,2B,expansion,2,0,0, 
252,2291,52.99966667,230.5266667,2B,expansion,2,0,0, 
253,2292,52.99983333,229.1333333,2B,expansion,2,0,0, 
254,2293,52.99983333,227.4621667,2B,expansion,2,0,0, 
255,2294,53.16533333,231.3613333,2B,expansion,2,0,0, 
256,2295,53.16566667,228.3141667,2B,expansion,2,0,0, 
257,2296,53.166,228.5776667,2B,expansion,2,0,0, 
258,2297,53.16633333,228.8555,2B,expansion,2,0,0, 
259,2298,53.1665,230.25,2B,expansion,2,0,0, 
260,2299,53.1665,229.9666667,2B,expansion,2,1,0, 
261,2301,53.33216667,231.0856667,2B,expansion,2,0,0, 
262,2302,53.33233333,228.2966667,2B,expansion,2,0,0, 
263,2303,53.3325,230.8066667,2B,expansion,2,0,0, 
264,2304,53.33266667,228.5755,2B,expansion,2,0,0, 
265,2305,53.333,228.8543333,2B,expansion,2,0,0, 
266,2306,53.33316667,230.25,2B,expansion,2,0,0, 
267,2307,53.499,230.8066667,2B,expansion,2,0,0, 
268,2308,53.499,228.2933333,2B,expansion,2,0,0, 
269,2309,53.49933333,228.5733333,2B,expansion,2,0,0, 
270,2311,53.49966667,228.8533333,2B,expansion,2,0,0, 
271,2312,53.666,228.5711667,2B,expansion,2,0,0, 
272,2313,53.66633333,228.8521667,2B,expansion,2,0,0, 
273,2314,53.66666667,228.2845,2B,expansion,2,0,0, 
274,2315,53.8325,229.9811667,2B,expansion,2,0,0, 
275,2316,53.83283333,228.5678333,2B,expansion,2,0,0, 
276,2317,53.83283333,229.6988333,2B,expansion,2,0,0, 
277,2318,53.833,228.8511667,2B,expansion,2,0,0, 
278,2320,53.83316667,228.2845,2B,expansion,2,0,0, 
279,2321,53.8335,226.5833333,2B,expansion,2,0,0, 
280,2322,53.9995,228.85,2B,expansion,2,0,0, 
281,2323,53.99966667,226.8666667,2B,expansion,2,0,0, 
282,2324,53.99983333,229.1333333,2B,expansion,2,0,0, 
283,2326,54.16633333,227.1345,2B,expansion,2,0,0, 
284,2327,54.1665,229.1356667,2B,expansion,2,0,0, 
285,2328,54.16683333,228.85,2B,expansion,2,0,0, 
286,2329,54.16683333,228.5666667,2B,expansion,2,0,0, 
287,2330,54.16683333,226.2833333,2B,expansion,2,0,0, 
288,2331,54.333,229.7023333,2B,expansion,2,0,0, 
289,2332,54.333,229.1356667,2B,expansion,2,0,0, 
290,2333,54.49966667,229.1368333,2B,expansion,2,0,0, 
291,2334,54.6665,229.4166667,2B,expansion,2,0,0, 
