Row number,Year,Stlkey,Vessel code,Station,Setno,IPHC Reg Area,IPHC Stat Area,IPHC Charter Region,Purpose,Date,Eff,Ineffcde,BeginLat,BeginLon,BeginDepth (fm),EndLat,EndLon,EndDepth (fm),MidLat fished,MidLon fished,AvgDepth (fm),Lat - Grid target,Lon - Grid target,O32 Pacific halibut count,U32 Pacific halibut count,O32 Pacific halibut weight,U32 Pacific halibut weight,No. skates set,No. skates hauled,Avg no. hook/skate,Effective skates hauled,Soak time (min.)
150,2020,20200860,VNI,2098,37,2B,112,St. James,Standard grid,26-Aug-20,Y,,52.02070,-130.57820,128,51.98380,-130.58070,161,52.0022,-130.5795,133,52.000,-130.583,33,10,739,84,8,8,98,7.87,687
151,2020,20200861,VNI,2271,38,2B,110,St. James,Standard grid,27-Aug-20,Y,,51.97950,-131.12880,57,52.02080,-131.13480,28,52.0002,-131.1318,35,52.000,-131.137,67,10,"2,465",89,8,8,99,7.95,434
152,2020,20200862,VNI,2120,39,2B,112,St. James,Standard grid,28-Aug-20,Y,,52.49870,-130.90150,50,52.50000,-130.83970,73,52.4993,-130.8705,59,52.500,-130.867,52,56,"1,490",457,8,8,97,7.79,427
153,2020,20200863,VNI,2119,40,2B,112,St. James,Standard grid,28-Aug-20,Y,,52.49970,-130.61800,58,52.49930,-130.55370,77,52.4995,-130.5858,66,52.500,-130.583,44,27,736,226,8,8,99,7.95,577
154,2020,20200864,VNI,2113,41,2B,112,St. James,Standard grid,29-Aug-20,Y,,52.33350,-130.60830,92,52.33380,-130.54550,90,52.3337,-130.5768,89,52.333,-130.583,66,20,"1,766",167,8,8,99,7.95,431
155,2020,20200865,VNI,2112,42,2B,112,St. James,Standard grid,29-Aug-20,Y,,52.33380,-130.34300,173,52.33300,-130.27630,203,52.3333,-130.3097,197,52.333,-130.317,7,2,118,21,8,8,97,7.79,603
156,2020,20200866,VNI,2279,43,2B,103,St. James,Standard grid,30-Aug-20,Y,,52.67150,-128.95050,48,52.63070,-128.94420,40,52.6512,-128.9473,77,52.666,-128.943,20,6,652,51,8,8,98,7.87,418
157,2020,20200867,VNI,2276,44,2B,102,St. James,Standard grid,30-Aug-20,Y,,52.35700,-128.94780,21,52.31980,-128.94720,29,52.3383,-128.9475,23,52.333,-128.950,25,12,430,101,8,8,99,7.95,570
158,2020,20200903,BDP,2170,113,2B,133,Charlotte,Standard grid,28-Aug-20,Y,,54.47650,-131.15020,72,54.51620,-131.15050,82,54.4963,-131.1503,75,54.500,-131.150,16,10,272,88,8,8,99,7.95,474
159,2020,20200904,BDP,2171,114,2B,133,Charlotte,Standard grid,28-Aug-20,Y,,54.47580,-131.43280,79,54.51530,-131.43350,43,54.4957,-131.4332,61,54.500,-131.433,75,33,"2,148",278,8,8,99,7.95,560
160,2020,20200905,BDP,2160,115,2B,133,Charlotte,Standard grid,28-Aug-20,Y,,54.32670,-131.43330,92,54.36400,-131.43350,114,54.3453,-131.4335,102,54.333,-131.433,39,15,609,138,8,8,99,7.95,629
161,2020,20200906,BDP,2153,116,2B,132,Charlotte,Standard grid,29-Aug-20,Y,,54.16580,-132.04620,35,54.16670,-131.97880,40,54.1662,-132.0125,37,54.167,-132.000,13,40,249,266,8,8,99,7.95,465
162,2020,20200907,BDP,2154,117,2B,132,Charlotte,Standard grid,29-Aug-20,Y,,54.16650,-132.28830,51,54.16670,-132.21950,40,54.1665,-132.2538,46,54.167,-132.283,6,105,74,660,8,8,99,7.95,503
163,2020,20200908,BDP,2163,118,2B,132,Charlotte,Standard grid,29-Aug-20,Y,,54.33300,-132.33250,118,54.33330,-132.26330,129,54.3332,-132.2980,118,54.333,-132.300,58,10,"1,416",79,8,8,99,7.95,595
164,2020,20200909,BDP,2326,119,2B,132,Charlotte,Standard grid,30-Aug-20,Y,,54.16650,-132.90070,18,54.16670,-132.83400,28,54.1665,-132.8673,23,54.166,-132.866,2,4,33,26,8,8,99,7.95,442
165,2020,20200910,BDP,2155,120,2B,132,Charlotte,Standard grid,30-Aug-20,Y,,54.16670,-132.61080,41,54.16650,-132.54170,48,54.1665,-132.5762,45,54.167,-132.567,5,109,237,626,8,8,99,7.95,541
166,2020,20200911,BDP,2164,121,2B,132,Charlotte,Standard grid,30-Aug-20,Y,,54.33330,-132.58000,140,54.33330,-132.64170,154,54.3333,-132.6108,148,54.333,-132.583,19,4,622,34,8,8,99,7.95,641
167,2020,20200912,BDP,2162,122,2B,132,Charlotte,Standard grid,31-Aug-20,Y,,54.33330,-131.97400,131,54.33330,-132.04470,138,54.3333,-132.0093,134,54.333,-132.017,24,4,637,34,8,8,99,7.45,518
168,2020,20200913,BDP,2161,123,2B,132,Charlotte,Standard grid,31-Aug-20,Y,,54.32200,-131.71670,101,54.36170,-131.71670,120,54.3418,-131.7167,107,54.333,-131.717,111,73,"2,015",631,8,8,99,7.95,619
169,2020,20200914,BDP,2172,124,2B,132,Charlotte,Standard grid,31-Aug-20,Y,,54.47780,-131.73320,180,54.51780,-131.73400,189,54.4978,-131.7337,185,54.500,-131.733,7,1,166,10,8,8,99,7.95,756
170,2020,20200915,BDP,2329,125,2B,133,Charlotte,Shallow expansion,01-Sep-20,Y,,54.12850,-131.43030,12,54.16850,-131.43380,14,54.1485,-131.4322,13,54.167,-131.433,1,1,13,9,8,8,99,7.95,399
171,2020,20200916,BDP,2328,126,2B,133,Charlotte,Shallow expansion,01-Sep-20,Y,,54.16780,-131.19250,17,54.16670,-131.12470,18,54.1672,-131.1585,16,54.167,-131.150,11,15,184,106,8,8,99,7.95,495
172,2020,20200917,BDP,2322,127,2B,133,Charlotte,Shallow expansion,01-Sep-20,Y,,54.00330,-131.14630,21,54.04220,-131.14830,20,54.0227,-131.1473,19,54.000,-131.150,4,2,53,11,8,8,99,7.95,564
173,2020,20200918,BDP,2343,128,2B,133,Charlotte,Shallow expansion,02-Sep-20,Y,,53.99920,-131.39750,13,53.96120,-131.39800,14,53.9802,-131.3977,12,54.000,-131.432,8,1,289,8,8,8,99,7.95,415
174,2020,20200919,BDP,2316,129,2B,133,Charlotte,Shallow expansion,02-Sep-20,Y,,53.88670,-131.40550,11,53.84770,-131.40250,12,53.8672,-131.4040,11,53.833,-131.432,0,1,0,9,8,8,99,7.95,511
175,2020,20200920,BDP,2320,130,2B,133,Charlotte,Shallow expansion,02-Sep-20,Y,,53.83330,-131.72970,10,53.83370,-131.66250,10,53.8335,-131.6962,9,53.833,-131.716,0,0,0,0,8,8,99,7.95,590
176,2020,20200921,BDP,2308,131,2B,121,Charlotte,Shallow expansion,03-Sep-20,Y,,53.48630,-131.69970,16,53.52530,-131.70120,16,53.5058,-131.7003,14,53.499,-131.707,0,0,0,0,8,8,99,7.95,398
177,2020,20200922,BDP,2314,132,2B,133,Charlotte,Shallow expansion,03-Sep-20,Y,,53.63220,-131.71530,11,53.67170,-131.71630,10,53.6520,-131.7158,11,53.667,-131.716,0,0,0,0,8,8,99,7.95,498
178,2020,20200923,BDP,2312,133,2B,121,Charlotte,Shallow expansion,03-Sep-20,Y,,53.66670,-131.48270,11,53.66700,-131.41470,11,53.6668,-131.4487,11,53.666,-131.429,0,0,0,0,8,8,99,7.95,587
179,2020,20200935,BDP,2305,134,2B,121,Charlotte,Shallow expansion,06-Sep-20,Y,,53.32130,-131.15100,19,53.36150,-131.14880,20,53.3413,-131.1498,19,53.333,-131.146,5,0,223,0,8,8,99,7.95,394
180,2020,20200936,BDP,2311,135,2B,121,Charlotte,Standard grid,06-Sep-20,Y,,53.44520,-131.15430,22,53.48380,-131.14970,21,53.4645,-131.1520,21,53.500,-131.147,13,0,541,0,8,8,99,7.95,505
181,2020,20200937,BDP,2309,136,2B,121,Charlotte,Shallow expansion,06-Sep-20,Y,,53.50230,-131.41220,15,53.50930,-131.34800,12,53.5058,-131.3800,13,53.499,-131.427,1,0,70,0,8,8,99,7.95,559
182,2020,20200938,BDP,2304,137,2B,121,Charlotte,Shallow expansion,07-Sep-20,Y,,53.33270,-131.39800,15,53.33330,-131.46430,18,53.3330,-131.4312,17,53.333,-131.425,2,0,139,0,8,8,99,7.95,428
183,2020,20200939,BDP,2302,138,2B,121,Charlotte,Shallow expansion,07-Sep-20,Y,,53.33320,-131.63920,16,53.33330,-131.70230,12,53.3332,-131.6707,14,53.332,-131.703,0,0,0,0,8,8,99,7.95,528
184,2020,20200940,BDP,2295,139,2B,121,Charlotte,Shallow expansion,07-Sep-20,Y,,53.16670,-131.64750,9,53.16670,-131.58130,15,53.1667,-131.6143,10,53.166,-131.686,0,0,0,0,8,8,99,7.95,626
185,2020,20200941,VNI,2280,45,2B,102,St. James,Standard grid,02-Sep-20,Y,,52.63550,-129.26470,98,52.67030,-129.26630,66,52.6530,-129.2655,80,52.666,-129.259,15,2,548,16,8,8,100,8.03,416
186,2020,20200942,VNI,2284,46,2B,112,St. James,Standard grid,02-Sep-20,Y,,52.81320,-129.48230,147,52.85250,-129.48650,87,52.8328,-129.4845,119,52.833,-129.491,13,2,406,20,8,8,99,7.95,550
187,2020,20200943,VNI,2294,47,2B,103,St. James,Standard grid,03-Sep-20,Y,,53.16770,-128.64250,33,53.17020,-128.70020,160,53.1690,-128.6713,142,53.165,-128.639,13,0,471,0,8,8,99,7.95,440
188,2020,20200944,VNI,2301,48,2B,114,St. James,Standard grid,03-Sep-20,Y,,53.31600,-128.91620,271,53.35250,-128.91280,262,53.3342,-128.9145,260,53.332,-128.914,34,0,"1,001",0,8,8,99,7.95,619
189,2020,20200945,VNI,2303,49,2B,114,St. James,Standard grid,04-Sep-20,Y,,53.33170,-129.16200,224,53.33170,-129.22600,252,53.3317,-129.1940,258,53.333,-129.193,26,0,840,0,8,8,97,7.79,592
190,2020,20200946,VNI,2306,50,2B,114,St. James,Standard grid,04-Sep-20,Y,,53.33170,-129.74250,72,53.33270,-129.80530,73,53.3322,-129.7738,91,53.333,-129.750,8,2,355,15,8,8,99,7.95,702
191,2020,20200947,VNI,2128,51,2B,112,St. James,Standard grid,05-Sep-20,Y,,53.02020,-130.02700,74,52.97970,-130.02830,121,52.9998,-130.0277,98,53.000,-130.033,26,1,742,9,8,8,99,7.95,415
192,2020,20200948,VNI,2125,52,2B,112,St. James,Standard grid,05-Sep-20,Y,,52.85300,-130.03350,141,52.81200,-130.03120,142,52.8325,-130.0323,141,52.833,-130.033,2,0,41,0,8,8,98,7.87,528
193,2020,20200949,VNI,2121,53,2B,112,St. James,Standard grid,06-Sep-20,Y,,52.66650,-129.72570,70,52.66630,-129.79050,108,52.6663,-129.7582,97,52.667,-129.767,59,9,"1,686",78,8,8,99,7.95,454
194,2020,20200950,VNI,2122,54,2B,112,St. James,Standard grid,06-Sep-20,Y,,52.66530,-130.00020,140,52.66520,-130.06350,146,52.6652,-130.0318,145,52.667,-130.033,6,0,153,0,8,8,99,7.95,578
195,2020,20200951,VNI,2123,55,2B,112,St. James,Standard grid,06-Sep-20,Y,,52.66550,-130.29030,130,52.66670,-130.35420,93,52.6662,-130.3223,117,52.667,-130.317,14,2,283,18,8,8,99,7.95,681
196,2020,20200952,VNI,2117,56,2B,112,St. James,Standard grid,07-Sep-20,Y,,52.52070,-130.03800,153,52.48120,-130.03100,146,52.5008,-130.0345,149,52.500,-130.033,18,0,391,0,8,8,99,7.95,489
197,2020,20200953,VNI,2116,57,2B,102,St. James,Standard grid,07-Sep-20,Y,,52.59070,-129.74970,86,52.54950,-129.74850,81,52.5700,-129.7490,80,52.530,-129.790,98,52,"1,782",450,8,8,99,7.95,587
198,2020,20200954,VNI,2110,58,2B,102,St. James,Standard grid,07-Sep-20,Y,,52.35570,-129.81850,115,52.31470,-129.82080,108,52.3352,-129.8197,111,52.333,-129.767,69,33,"1,140",292,8,8,97,7.79,730
